# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
4.3220E-01    2.8985E-03    2.8967E-03    2.9002E-03    2.9010E-03    2.8728E-03
4.3393E-01    2.8982E-03    2.8965E-03    2.9000E-03    2.9007E-03    2.8726E-03
4.3566E-01    2.8980E-03    2.8962E-03    2.8997E-03    2.9004E-03    2.8725E-03
4.3740E-01    2.8977E-03    2.8960E-03    2.8994E-03    2.9002E-03    2.8723E-03
4.3915E-01    2.8975E-03    2.8958E-03    2.8992E-03    2.8999E-03    2.8722E-03
4.4091E-01    2.8976E-03    2.8959E-03    2.8993E-03    2.9000E-03    2.8723E-03
4.4267E-01    2.8980E-03    2.8962E-03    2.8996E-03    2.9003E-03    2.8725E-03
4.4444E-01    2.8972E-03    2.8955E-03    2.8989E-03    2.8996E-03    2.8721E-03
4.4622E-01    2.8969E-03    2.8952E-03    2.8985E-03    2.8992E-03    2.8719E-03
4.4800E-01    2.8964E-03    2.8947E-03    2.8981E-03    2.8988E-03    2.8716E-03
4.4979E-01    2.8961E-03    2.8944E-03    2.8978E-03    2.8985E-03    2.8715E-03
4.5159E-01    2.8957E-03    2.8940E-03    2.8973E-03    2.8980E-03    2.8712E-03
4.5340E-01    2.8954E-03    2.8938E-03    2.8971E-03    2.8978E-03    2.8711E-03
4.5521E-01    2.8951E-03    2.8935E-03    2.8968E-03    2.8975E-03    2.8709E-03
4.5703E-01    2.8949E-03    2.8932E-03    2.8965E-03    2.8972E-03    2.8707E-03
4.5886E-01    2.8946E-03    2.8930E-03    2.8963E-03    2.8970E-03    2.8706E-03
4.6069E-01    2.8943E-03    2.8927E-03    2.8960E-03    2.8967E-03    2.8705E-03
4.6254E-01    2.8941E-03    2.8925E-03    2.8957E-03    2.8964E-03    2.8703E-03
4.6439E-01    2.8938E-03    2.8922E-03    2.8955E-03    2.8962E-03    2.8702E-03
4.6624E-01    2.8937E-03    2.8921E-03    2.8953E-03    2.8960E-03    2.8701E-03
4.6811E-01    2.8937E-03    2.8921E-03    2.8953E-03    2.8960E-03    2.8701E-03
4.6998E-01    2.8941E-03    2.8925E-03    2.8957E-03    2.8963E-03    2.8704E-03
4.7186E-01    2.8934E-03    2.8918E-03    2.8950E-03    2.8957E-03    2.8700E-03
4.7375E-01    2.8930E-03    2.8914E-03    2.8945E-03    2.8952E-03    2.8697E-03
4.7564E-01    2.8926E-03    2.8910E-03    2.8941E-03    2.8948E-03    2.8695E-03
4.7754E-01    2.8923E-03    2.8907E-03    2.8938E-03    2.8945E-03    2.8693E-03
4.7945E-01    2.8918E-03    2.8902E-03    2.8933E-03    2.8940E-03    2.8690E-03
4.8137E-01    2.8915E-03    2.8900E-03    2.8931E-03    2.8938E-03    2.8689E-03
4.8329E-01    2.8913E-03    2.8898E-03    2.8929E-03    2.8936E-03    2.8688E-03
4.8523E-01    2.8918E-03    2.8903E-03    2.8933E-03    2.8940E-03    2.8691E-03
4.8717E-01    2.8913E-03    2.8898E-03    2.8928E-03    2.8935E-03    2.8688E-03
4.8911E-01    2.8910E-03    2.8895E-03    2.8926E-03    2.8932E-03    2.8686E-03
4.9107E-01    2.8908E-03    2.8893E-03    2.8923E-03    2.8930E-03    2.8685E-03
4.9303E-01    2.8900E-03    2.8885E-03    2.8915E-03    2.8922E-03    2.8680E-03
4.9500E-01    2.8897E-03    2.8883E-03    2.8913E-03    2.8920E-03    2.8679E-03
4.9698E-01    2.8895E-03    2.8880E-03    2.8910E-03    2.8917E-03    2.8677E-03
4.9897E-01    2.8895E-03    2.8881E-03    2.8910E-03    2.8917E-03    2.8678E-03
5.0097E-01    2.8899E-03    2.8885E-03    2.8914E-03    2.8921E-03    2.8680E-03
5.0297E-01    2.8909E-03    2.8894E-03    2.8924E-03    2.8930E-03    2.8687E-03
5.0498E-01    2.8924E-03    2.8908E-03    2.8939E-03    2.8944E-03    2.8696E-03
5.0700E-01    2.8931E-03    2.8915E-03    2.8945E-03    2.8950E-03    2.8700E-03
5.0903E-01    2.8901E-03    2.8886E-03    2.8916E-03    2.8922E-03    2.8682E-03
5.1106E-01    2.8895E-03    2.8880E-03    2.8909E-03    2.8915E-03    2.8678E-03
5.1311E-01    2.8882E-03    2.8868E-03    2.8897E-03    2.8904E-03    2.8671E-03
5.1516E-01    2.8871E-03    2.8857E-03    2.8886E-03    2.8893E-03    2.8664E-03
5.1722E-01    2.8868E-03    2.8855E-03    2.8883E-03    2.8890E-03    2.8663E-03
5.1929E-01    2.8866E-03    2.8852E-03    2.8880E-03    2.8887E-03    2.8661E-03
5.2136E-01    2.8863E-03    2.8849E-03    2.8877E-03    2.8884E-03    2.8659E-03
5.2345E-01    2.8862E-03    2.8849E-03    2.8876E-03    2.8883E-03    2.8659E-03
5.2554E-01    2.8861E-03    2.8848E-03    2.8876E-03    2.8883E-03    2.8659E-03
5.2764E-01    2.8857E-03    2.8844E-03    2.8872E-03    2.8879E-03    2.8656E-03
5.2975E-01    2.8855E-03    2.8842E-03    2.8870E-03    2.8877E-03    2.8655E-03
5.3187E-01    2.8851E-03    2.8838E-03    2.8866E-03    2.8873E-03    2.8653E-03
